,종목,코드,현재가,전일비,등락률,거래량,거래대금
69,KODEX ¹Ì±¹30³â±¹Ã¤¾×Æ¼ºê(H),484790,"10,430",,,"578,960","6,047"
70,TIGER ¹Ì±¹Å×Å©TOP10 INDXX,381170,"19,950",,,"565,159","11,285"
71,ÇÑ±¹ANKORÀ¯Àü,152550,380,,,"553,557",211
72,ÇÑÈ­¼Ö·ç¼Ç,009830,"23,800",,,"549,071","13,311"
73,ÀÌ¼öÆäÅ¸½Ã½º,007660,"34,700",,,"537,368","18,872"
74,½ÅÇÑÁöÁÖ,055550,"56,300",,,"503,391","28,254"
75,¼º¾È¸ÓÆ¼¸®¾ó½º,011300,688,,,"500,448",345
76,ÀÎ½ºÄÚºñ,006490,"1,276",,,"497,210",640
77,¸ÆÄõ¸®ÀÎÇÁ¶ó,088980,"11,870",,,"496,296","5,890"
78,ÇÑ¹Ì¹ÝµµÃ¼,042700,"92,600",,,"490,626","46,206"
79,Çö´ë·ÎÅÛ,064350,"52,800",,,"479,515","25,007"
80,KODEX ¹Ì±¹30³â±¹Ã¤+12%ÇÁ¸®¹Ì¾ö(ÇÕ¼º H),481060,"10,710",,,"474,687","5,086"
81,¾¾¿¡½ºÀ©µå,112610,"68,900",,,"466,301","31,890"
82,¹Ì·¡¿¡¼Â ÀÎ¹ö½º 2X ÄÚ½º´Ú150 ¼±¹° ETN,520057,"6,930",,,"458,204","3,149"
83,LGÀ¯ÇÃ·¯½º,032640,"9,960",,,"438,697","4,375"
84,ÇÑ±¹°¡½º°ø»ç,036460,"46,300",,,"438,015","20,308"
85,TIGER ¹Ì±¹³ª½º´Ú100+15%ÇÁ¸®¹Ì¾öÃÊ´Ü±â,486290,"9,225",,,"435,456","4,012"
86,ÆÒ¿À¼Ç,028670,"3,485",,,"428,348","1,503"
87,KODEX 2Â÷ÀüÁö»ê¾÷,305720,"16,640",,,"426,879","7,176"
88,ºñ¿¡ÀÌÄ¡,090460,"17,890",,,"416,650","7,550"
89,ÆÄ¹Ì¼¿,005690,"5,430",,,"412,874","2,231"
90,Çö´ëÂ÷,005380,"243,500",,,"412,514","100,798"
91,´ëÇÑÇ×°ø,003490,"22,400",,,"409,836","9,224"
92,HDÇö´ëÀÏ·ºÆ®¸¯,267260,"313,000",,,"407,452","125,479"
93,ÇÑ³óÈ­¼º,011500,"18,400",,,"401,465","7,541"
94,KODEX ¹Ì±¹S&P500TR,379800,"17,130",,,"398,519","6,824"
95,CJ CGV,079160,"6,270",,,"395,087","2,525"
96,KCÄÚÆ®·¼,119650,515,,,"394,485",203
97,ACE ¹Ì±¹30³â±¹Ã¤¼±¹°·¹¹ö¸®Áö(ÇÕ¼º H),452250,"7,380",,,"393,985","2,907"
98,KODEX AIÀü·ÂÇÙ½É¼³ºñ,487240,"8,365",,,"391,639","3,244"
99,ÇÏ³ª±ÝÀ¶ÁöÁÖ,086790,"61,900",,,"389,775","24,188"
